,business_id,latitude,longitude,stars,review_count,categories
0,eEOYSgkmpB90uNA7lDOMRA,27.9552692,-82.4563199,4.0,10,"Vietnamese, Food, Restaurants, Food Trucks"
1,0qNpTGTcqPwOLi2hADx4Xw,28.0103596,-82.4300416,3.0,9,"Food, Grocery, Convenience Stores"
2,uI9XODGY_2_ieTE6xJ0myw,28.0462028173,-82.5050526736,4.0,23,"Restaurants, American (New), Italian"
3,JgpnXv_0XhV3SfbfB50nxw,27.9605142,-82.506127,4.0,35,"Restaurants, Pizza"
4,RK6-cJ9hj53RzOlCBmpT-g,27.890814,-82.5023464,5.0,5,"Restaurants, Italian, Food Trucks, Food"
5,zFvqulgAYOpSG2t1v8AZ-w,27.935753,-82.4764699,4.0,40,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop"
6,QjV4v7q_pt7tt3K1US7IHg,28.0548882706,-82.3995484,3.0,5,"Fast Food, Sandwiches, Chicken Shop, Restaurants"
7,Ucl9Vo5lwrUmYbV8Dv8X5g,28.09236,-82.500588,4.0,108,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues"
8,xbRbvXSAVZBEwaUUn3mzbg,28.0787347875,-82.5063104158,3.5,42,"Salad, Restaurants, Burgers, Soul Food"
9,VVvUBlc_WIEb8obKGq39dA,27.9803985924,-82.5377866183,4.5,39,"Irish Pub, Bars, Restaurants, Irish, Nightlife"
10,py5aKmlTB2NarfsfcOpHOQ,27.9767745,-82.5374233,2.5,55,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food"
11,dJfkfBbJz7wi0RgW-ph_Eg,28.055212,-82.399374,3.0,140,"Restaurants, Sushi Bars, Japanese"
12,sUQ-OfJYSNfz-cimEjoaXQ,27.9402059,-82.4828837,3.5,7,"Restaurants, Middle Eastern"
13,z9wCTHYI2VZy9YIblwSsgg,27.9464963776,-82.3555628732,4.0,5,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries"
14,Rz0KfP7YAZV_yQE8uIB0fg,28.0535153,-82.4534422,5.0,6,"Puerto Rican, Caribbean, Latin American, Restaurants"
15,wFXwmrlV8TiBS4Ac2-W_9g,28.0536294,-82.4044188,3.5,10,"Festivals, Arts & Entertainment, Local Flavor, Restaurants, Food Stands"
16,516L9-ZWyqVgzqjP5uW7Jg,27.9444574,-82.4578244,4.0,6,"Sandwiches, Cafes, Burgers, Food, Restaurants"
17,dIpTuL2T1L98GQGU17IeSw,27.9600238,-82.4444005,4.0,548,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian"
18,FW1PXpUq-yOs-5O_gqz3AQ,28.0114997,-82.5828401,4.5,32,"Restaurants, Barbeque"
19,6_Zf2QsRHCH1RhbzA9inyw,27.9963703,-82.580954,3.0,56,"Coffee & Tea, Food"
20,GJpAeUSsPIsVK6_0Lfuekg,28.0686496,-82.5751466,2.0,7,"Pretzels, Shopping Centers, Food, Shopping, Bakeries"
21,O5zuQH_YowDC-rsK8ZEXCA,28.0451503082,-82.6812278379,3.0,62,"Asian Fusion, Restaurants"
22,71U7MxQEhwitJOm4CQpRwQ,27.920067,-82.4989209,4.0,325,"Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls"
23,_-SSObHzljeA11HAF0lIrQ,27.9955205,-82.512474,2.5,27,"Restaurants, Fast Food, Burgers"
24,EjzWyITI75CKSKb6RGCG_Q,27.9958415,-82.5722699,3.0,11,"Barbeque, Restaurants, Event Planning & Services, Caterers"
25,lCBLhf37pnkyZ-1MWNF3ag,28.0642084807,-82.5053286552,2.5,23,"Delis, Restaurants"
26,vVm2qH6n4tWzN_qv6PBIVw,28.130283,-82.364992,3.5,32,"Restaurants, Caribbean"
27,5cz1XbgalpQ89gsNQwneVQ,27.9955961525,-82.5828616138,4.0,59,"Restaurants, Pizza, Italian"
28,rBE5TT_ndOOczNBrbRnJwA,27.9491200666,-82.458398826,4.0,325,"Greek, Restaurants, Mediterranean"
29,oRZzKWdyMQld6N_y4UWkAg,28.0819277157,-82.5391477434,4.0,316,"Latin American, Restaurants, Peruvian, Seafood"
30,KwCZuRlaeciJsOXkCOtjDA,28.0533777,-82.4442952,3.5,10,"Butcher, Food, Specialty Food, Meat Shops, Grocery"
31,H2nFgEFitRk7ltE8IRH0xA,27.944918,-82.523213,2.5,42,"Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos"
32,_HcAoG6Jj_XTj4-XNEbo6Q,28.0533288743,-82.3928146398,3.0,172,"Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars"
33,q40E5X_HdjeM_Kl1BE7Gtg,28.1184025,-82.3816714,4.5,62,"Asian Fusion, Restaurants, Thai"
34,QNxXsVPYcecUuhGRG-88OQ,28.002703,-82.4590917,4.0,101,"Wraps, American (New), Vegan, Breakfast & Brunch, Restaurants"
35,hTyJhpH7Bl5moMWQb4Sosg,28.169016,-82.356628,5.0,88,"Gluten-Free, Poke, Food, Restaurants, Hawaiian"
36,tjEKEDmyR_VmeBkJGwreLA,28.0127575,-82.5055465,2.0,21,"Food, Donuts, Coffee & Tea"
37,WcUS0B2iFLPAsdUZMwKkWw,27.9456571,-82.4567437,3.0,5,"Seafood, Restaurants, Sandwiches"
38,qRC7CkXf2jzEE-hyyEIElg,28.0404766,-82.5107742,4.5,7,"Bakeries, Food"
39,p9tB3Fiszn1HMLUE-97K4g,28.0568259768,-82.6259098537,4.0,76,"Desserts, Event Planning & Services, Food, Caterers, Ice Cream & Frozen Yogurt"
